127.0.0.1 - - [30/Aug/2023:15:13:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:28 +0900] "GET /app/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:30 +0900] "GET /app/%E3%85%91%E3%85%9C%E3%85%87%E3%84%B7%E3%85%8C HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:30 +0900] "GET /app/resources/static/img/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:30 +0900] "GET /app/resources/static/img/english.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/index HTTP/1.1" 200 28485
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/search.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/english.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/add.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/That's%20Not%20how%20This%20Works.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/Feeling.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/song1.webp HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/NewJeans.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/song6.jpg HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/song3.jpg HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/song10.webp HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/song8.webp HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/song4.jpg HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/%EB%A1%9C%EA%B3%A0-removebg-preview.png HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:13:37 +0900] "GET /app/resources/static/img/%EB%B8%94%EB%9E%99%ED%95%91%ED%81%AC.png HTTP/1.1" 200 13841
